1	1.777	0.398	0	0
2	2.137	0.398	0	0
3	2.497	0.398	0	0
4	2.857	0.398	0	0
5	3.217	0.398	0	0
6	3.577	0.398	0	0
7	3.937	0.398	0	0
8	4.297	0.398	0	0
9	4.657	0.398	0	0
10	5.017	0.398	0	0
11	5.377	0.398	0	0
12	5.737	0.398	0	0
13	6.097	0.398	0	0
14	6.457	0.398	0	0
15	6.817	0.398	0	0
16	7.177	0.398	0	0
32	7.177	0.758	0	0
31	6.817	0.758	0	0
30	6.457	0.758	0	0
29	6.097	0.758	0	0
28	5.737	0.758	0	0
27	5.377	0.758	0	0
26	5.017	0.758	0	0
25	4.657	0.758	0	0
24	4.297	0.758	0	0
23	3.937	0.758	0	0
22	3.577	0.758	0	0
21	3.217	0.758	0	0
20	2.857	0.758	0	0
19	2.497	0.758	0	0
18	2.137	0.758	0	0
17	1.777	0.758	0	0
33	1.777	1.118	0	0
34	2.137	1.118	0	0
35	2.497	1.118	0	0
36	2.857	1.118	0	0
37	3.217	1.118	0	0
38	3.577	1.118	0	0
39	3.937	1.118	0	0
40	4.297	1.118	0	0
41	4.657	1.118	0	0
42	5.017	1.118	0	0
43	5.377	1.118	0	0
44	5.737	1.118	0	0
45	6.097	1.118	0	0
46	6.457	1.118	0	0
47	6.817	1.118	0	0
48	7.177	1.118	0	0
64	7.177	1.478	0	0
63	6.817	1.478	0	0
62	6.457	1.478	0	0
61	6.097	1.478	0	0
60	5.737	1.478	0	0
59	5.377	1.478	0	0
58	5.017	1.478	0	0
57	4.657	1.478	0	0
56	4.297	1.478	0	0
55	3.937	1.478	0	0
54	3.577	1.478	0	0
53	3.217	1.478	0	0
52	2.857	1.478	0	0
51	2.497	1.478	0	0
50	2.137	1.478	0	0
49	1.777	1.478	0	0
65	1.777	1.838	0	0
66	2.137	1.838	0	0
67	2.497	1.838	0	0
68	2.857	1.838	0	0
69	3.217	1.838	0	0
70	3.577	1.838	0	0
71	3.937	1.838	0	0
72	4.297	1.838	0	0
73	4.657	1.838	0	0
74	5.017	1.838	0	0
75	5.377	1.838	0	0
76	5.737	1.838	0	0
77	6.097	1.838	0	0
78	6.457	1.838	0	0
79	6.817	1.838	0	0
80	7.177	1.838	0	0
96	7.177	2.198	0	0
95	6.817	2.198	0	0
94	6.457	2.198	0	0
93	6.097	2.198	0	0
92	5.737	2.198	0	0
