20230525-21:39:54.581	,0.602	,VICI_EMHCA[0] P 11	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:39:55.183	,3.481	,SP_CENTRIS PULL 80,150	,OK	,	,OK	,11	,EXEOK
20230525-21:39:58.664	,2.001	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:40:00.665	,0.177	,SV[1] 0	,OK	,	,OK	,0	,CMD
20230525-21:40:00.842	,0.175	,SV[0] 0	,OK	,	,OK	,0	,CMD
20230525-21:40:01.018	,36.757	,SP_CENTRIS PULL 10,350	,OK	,	,OK	,143	,EXEOK
20230525-21:40:37.775	,1.999	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:40:39.775	,0.601	,VICI_EMHCA[0] P 2	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:40:40.377	,1.460	,SP_CENTRIS PULL 5,2	,OK	,	,OK	,3	,EXEOK
20230525-21:40:41.837	,2.000	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:40:43.837	,0.601	,VICI_EMHCA[0] P 12	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:40:44.438	,5.995	,SP_CENTRIS PULL 10,48	,OK	,	,OK	,21	,EXEOK
20230525-21:40:50.434	,2.000	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:40:52.434	,0.181	,SV[1] 1	,OK	,	,OK	,0	,CMD
20230525-21:40:52.615	,0.175	,SV[0] 1	,OK	,	,OK	,0	,CMD
20230525-21:40:52.790	,0.000	,// ICM 10uL/s total 120uL	,OK	,	,OK	,0	,
20230525-21:40:52.794	,0.602	,VICI_EMHCA[0] P 12	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:40:53.396	,0.999	,WAIT 1	,OK	,	,OK	,0	,EXEOK
20230525-21:40:54.396	,0.171	,SV[1] 0	,OK	,	,OK	,0	,CMD
20230525-21:40:54.567	,0.176	,SV[0] 0	,OK	,	,OK	,0	,CMD
20230525-21:40:54.742	,8.021	,SP_CENTRIS PULL 10,70	,OK	,	,OK	,29	,EXEOK
20230525-21:41:02.763	,2.001	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:41:04.764	,0.602	,VICI_EMHCA[0] P 2	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:41:05.366	,1.461	,SP_CENTRIS PULL 5,2	,OK	,	,OK	,3	,EXEOK
20230525-21:41:06.827	,2.000	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:41:08.827	,0.601	,VICI_EMHCA[0] P 11	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:41:09.428	,6.000	,SP_CENTRIS PULL 10,48	,OK	,	,OK	,21	,EXEOK
20230525-21:41:15.428	,2.000	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:41:17.428	,0.177	,SV[1] 1	,OK	,	,OK	,0	,CMD
20230525-21:41:17.605	,0.177	,SV[0] 1	,OK	,	,OK	,0	,CMD
20230525-21:41:17.782	,160.000	,WAIT 160	,OK	,	,OK	,0	,EXEOK
20230525-21:43:57.781	,0.000	,// USB 10uL/s total 200uL	,OK	,	,OK	,0	,
20230525-21:43:57.785	,0.603	,VICI_EMHCA[0] P 11	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:43:58.388	,3.225	,SP_CENTRIS PULL 80,150	,OK	,	,OK	,10	,EXEOK
20230525-21:44:01.613	,2.000	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:44:03.613	,0.175	,SV[1] 0	,OK	,	,OK	,0	,CMD
20230525-21:44:03.788	,0.176	,SV[0] 0	,OK	,	,OK	,0	,CMD
20230525-21:44:03.964	,16.328	,SP_CENTRIS PULL 10,150	,OK	,	,OK	,62	,EXEOK
20230525-21:44:20.292	,2.000	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:44:22.292	,0.600	,VICI_EMHCA[0] P 2	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:44:22.893	,1.461	,SP_CENTRIS PULL 5,2	,OK	,	,OK	,3	,EXEOK
20230525-21:44:24.353	,1.999	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:44:26.352	,0.601	,VICI_EMHCA[0] P 3	,OK	,	,OK	,1073676294	,VISA Read in VICI EMHCA_10PORTS.lvclass:EMHCA_10_MOV.vi->VICI EMHCA_10PORTS.lvclass:EMHCA_10 action.vi->00_action_jmc.vi->02_automator_jmc.vi
20230525-21:44:26.954	,5.994	,SP_CENTRIS PULL 10,48	,OK	,	,OK	,21	,EXEOK
20230525-21:44:32.947	,2.000	,WAIT 2	,OK	,	,OK	,0	,EXEOK
20230525-21:44:34.947	,0.168	,SV[1] 1	,OK	,	,OK	,0	,CMD
